application_id,applicant_country,visa_type,submission_date,decision_date,processing_time_days,processing_center,decision,season,application_year
A00590,United Kingdom,Student,2021-02-12,2021-04-22,69,Singapore,Approved,Winter,2021
A00308,Pakistan,Student,2024-03-30,2024-05-30,61,Abu Dhabi,Rejected,Spring,2024
A00680,India,Permanent Residency,2022-10-07,2023-04-13,188,New York,Rejected,Autumn,2022
A00067,Nigeria,Work,2022-06-02,2022-09-10,100,Abu Dhabi,Approved,Summer,2022
A00276,Nepal,Visit,2023-04-15,2023-05-24,39,Ottawa,Approved,Spring,2023
A00068,China,Skilled Migration,2024-03-07,2024-07-04,119,New York,Approved,Spring,2024
A00319,Canada,Business,2022-12-28,2023-02-12,46,Delhi,Approved,Winter,2022
A00549,Pakistan,Skilled Migration,2021-01-13,2021-06-24,162,Singapore,Approved,Winter,2021
A00999,Philippines,Employment,2022-10-02,2022-12-10,69,London,Rejected,Autumn,2022
A00715,Australia,Business,2021-04-08,2021-05-01,23,New York,Approved,Spring,2021
A00754,Nepal,Skilled Migration,2021-08-14,2022-01-13,152,London,Approved,Summer,2021
A00328,South Africa,Work,2022-01-21,2022-04-22,91,London,Approved,Winter,2022
A00383,Kenya,Tourist,2022-09-26,2022-10-16,20,Sydney,Approved,Autumn,2022
A00452,Germany,Visit,2021-05-28,2021-12-06,192,Singapore,Approved,Spring,2021
A00523,United States,Employment,2021-12-03,2022-02-25,84,Ottawa,Approved,Winter,2021
A00219,Canada,Skilled Migration,2024-01-20,2024-04-21,92,Ottawa,Approved,Winter,2024
A00788,Bangladesh,Visit,2022-03-09,2022-04-04,26,Abu Dhabi,Approved,Spring,2022
A00437,UAE,Employment,2023-09-27,2024-02-06,132,Delhi,Approved,Autumn,2023
A00765,United States,Visit,2023-03-26,2023-04-20,25,Sydney,Approved,Spring,2023
A00089,Nepal,Permanent Residency,2023-09-25,2024-02-21,149,New York,Approved,Autumn,2023
A00064,Canada,Visit,2024-10-30,,,New York,Pending,Autumn,2024
A00827,Sri Lanka,Visit,2023-12-13,2024-06-02,172,Delhi,Approved,Winter,2023
A00717,India,Tourist,2021-01-31,2021-02-16,16,London,Approved,Winter,2021
A00352,Canada,Tourist,2023-07-19,2023-08-03,15,Berlin,Approved,Summer,2023
A00937,France,Work,2022-06-14,2022-08-26,73,London,Approved,Summer,2022
A00257,Sri Lanka,Visit,2023-07-24,2023-08-28,35,Sydney,Approved,Summer,2023
A00636,South Africa,Work,2022-06-19,2022-08-24,66,Sydney,Approved,Summer,2022
A00645,Nigeria,Visit,2021-08-23,2021-09-18,26,Sydney,Approved,Summer,2021
A00555,France,Tourist,2021-10-17,2021-10-28,11,London,Approved,Autumn,2021
A00960,UAE,Tourist,2021-05-31,,,Singapore,Pending,Spring,2021
A00169,South Africa,Skilled Migration,2022-01-30,2022-07-28,179,Berlin,Approved,Winter,2022
A00918,Germany,Skilled Migration,2023-07-02,2023-12-30,181,London,Approved,Summer,2023
A00529,Australia,Work,2023-08-29,2023-09-27,29,Singapore,Approved,Summer,2023
A00824,Nepal,Skilled Migration,2022-11-01,2023-02-19,110,London,Approved,Autumn,2022
A00986,India,Work,2021-10-20,2021-12-29,70,Abu Dhabi,Approved,Autumn,2021
A00817,Saudi Arabia,Business,2024-05-01,2024-06-01,31,London,Approved,Spring,2024
A00087,Pakistan,Tourist,2021-09-24,2021-10-18,24,Ottawa,Approved,Autumn,2021
A00433,UAE,Student,2024-10-31,2024-12-31,61,Berlin,Approved,Autumn,2024
A00185,United States,Tourist,2024-06-17,2024-07-13,26,Delhi,Approved,Summer,2024
A00979,China,Visit,2024-12-27,2025-01-26,30,Delhi,Approved,Winter,2024
A00535,China,Permanent Residency,2023-03-25,2023-09-06,165,Berlin,Approved,Spring,2023
A00295,Philippines,Tourist,2023-03-01,2023-03-13,12,Berlin,Approved,Spring,2023
A00893,South Africa,Tourist,2023-03-14,2023-04-05,22,Ottawa,Approved,Spring,2023
A00426,UAE,Permanent Residency,2024-09-22,2025-03-26,185,Berlin,Approved,Autumn,2024
A00714,Nigeria,Student,2024-10-30,2025-01-13,75,Delhi,Approved,Autumn,2024
A00261,India,Skilled Migration,2023-09-16,2024-02-13,150,Abu Dhabi,Approved,Autumn,2023
A00238,Australia,Work,2022-03-15,2022-07-06,113,Ottawa,Rejected,Spring,2022
A00560,Canada,Work,2023-09-21,2023-12-12,82,Berlin,Approved,Autumn,2023
A00584,Canada,Business,2024-03-30,2024-04-22,23,Abu Dhabi,Approved,Spring,2024
A00446,United Kingdom,Employment,2024-04-23,2024-08-14,113,Singapore,Approved,Spring,2024
A00868,Philippines,Work,2023-05-05,2023-07-06,62,Singapore,Approved,Spring,2023
A00801,France,Work,2024-06-30,,,Berlin,Pending,Summer,2024
A00600,China,Permanent Residency,2024-09-01,2025-03-16,196,Berlin,Rejected,Autumn,2024
A00850,Kenya,Tourist,2023-11-10,2023-11-29,19,Sydney,Rejected,Autumn,2023
A00266,South Africa,Tourist,2024-10-30,2025-05-02,184,Ottawa,Approved,Autumn,2024
A00996,Brazil,Tourist,2024-03-09,2024-03-21,12,London,Rejected,Spring,2024
A00530,Saudi Arabia,Employment,2023-01-16,2023-05-05,109,Sydney,Approved,Winter,2023
A00056,Philippines,Visit,2022-11-17,2022-12-15,28,Delhi,Approved,Autumn,2022
A00121,France,Student,2024-10-11,2024-12-26,76,Berlin,Rejected,Autumn,2024
A00216,Nigeria,Skilled Migration,2022-08-07,2023-01-14,160,Singapore,Approved,Summer,2022
A00026,China,Business,2024-03-12,2024-04-22,41,Sydney,Approved,Spring,2024
A00073,Nigeria,Tourist,2024-01-13,2024-02-01,19,Sydney,Rejected,Winter,2024
A00045,South Africa,Permanent Residency,2023-07-13,2023-12-27,167,Abu Dhabi,Approved,Summer,2023
A00248,Turkey,Tourist,2021-09-03,2021-09-04,1,New York,Approved,Autumn,2021
A00722,United Kingdom,Student,2021-08-17,2021-09-21,35,Singapore,Approved,Summer,2021
A00282,Kenya,Employment,2021-03-31,2021-06-20,81,New York,Approved,Spring,2021
A00894,Kenya,Employment,2022-08-28,,,Singapore,Pending,Summer,2022
A00915,UAE,Visit,2023-12-21,2024-01-28,38,Ottawa,Approved,Winter,2023
A00811,China,Skilled Migration,2021-12-23,2022-05-05,133,New York,Approved,Winter,2021
A00245,Nepal,Business,2022-07-09,2022-08-07,29,Delhi,Approved,Summer,2022
A00823,Turkey,Employment,2023-09-14,2023-12-05,82,New York,Approved,Autumn,2023
A00322,Bangladesh,Skilled Migration,2023-11-26,2024-03-02,97,London,Approved,Autumn,2023
A00644,Nepal,Visit,2024-06-29,2024-07-17,18,London,Approved,Summer,2024
A00159,Sri Lanka,Work,2024-09-07,2024-11-25,79,Delhi,Approved,Autumn,2024
A00978,Australia,Work,2024-10-04,2025-01-05,93,Delhi,Approved,Autumn,2024
A00430,Saudi Arabia,Student,2023-06-14,2023-08-11,58,Sydney,Approved,Summer,2023
A00942,Nepal,Employment,2021-10-08,2021-12-02,55,Sydney,Approved,Autumn,2021
A00463,Philippines,Skilled Migration,2023-12-27,2024-05-26,151,Berlin,Approved,Winter,2023
A00310,Pakistan,Student,2021-07-15,2021-09-10,57,Berlin,Approved,Summer,2021
A00698,France,Visit,2021-12-08,2022-01-08,31,Delhi,Approved,Winter,2021
A00061,Pakistan,Permanent Residency,2022-10-22,2023-06-04,225,New York,Approved,Autumn,2022
A00885,Germany,Permanent Residency,2024-07-02,,,Abu Dhabi,Pending,Summer,2024
A00596,Pakistan,Visit,2024-01-02,2024-02-05,34,Delhi,Approved,Winter,2024
A00768,France,Employment,2022-12-07,2023-03-17,100,New York,Approved,Winter,2022
A00650,Kenya,Skilled Migration,2024-05-16,2024-08-14,90,Berlin,Approved,Spring,2024
A00651,UAE,Visit,2024-03-14,2024-04-22,39,Sydney,Approved,Spring,2024
A00866,Philippines,Visit,2024-01-10,2024-01-29,19,Delhi,Approved,Winter,2024
A00669,South Africa,Employment,2024-01-04,,,New York,Pending,Winter,2024
A00299,Kenya,Permanent Residency,2023-07-28,2024-01-28,184,London,Rejected,Summer,2023
A00690,Germany,Skilled Migration,2021-02-16,2021-04-21,64,Delhi,Rejected,Winter,2021
A00315,Pakistan,Permanent Residency,2022-02-16,2022-11-22,279,Singapore,Approved,Winter,2022
A00311,Nepal,Work,2024-10-13,2024-12-20,68,Berlin,Approved,Autumn,2024
A00362,United States,Skilled Migration,2024-09-06,2025-01-20,136,Ottawa,Approved,Autumn,2024
A00480,Philippines,Permanent Residency,2024-12-09,2025-09-08,273,Abu Dhabi,Approved,Winter,2024
A00111,United States,Employment,2024-03-22,2024-07-25,125,Delhi,Approved,Spring,2024
A00990,United Kingdom,Visit,2021-11-24,2021-12-07,13,Berlin,Approved,Autumn,2021
A00487,India,Student,2022-01-29,2022-03-18,48,Singapore,Rejected,Winter,2022
A00364,Brazil,Skilled Migration,2022-01-15,2022-06-18,154,Ottawa,Approved,Winter,2022
A00255,Brazil,Work,2022-06-17,2022-09-20,95,Ottawa,Approved,Summer,2022
A00260,Saudi Arabia,Employment,2024-12-04,2025-03-17,103,New York,Approved,Winter,2024
A00803,Bangladesh,Work,2024-07-31,2024-10-17,78,London,Approved,Summer,2024
A00678,South Africa,Permanent Residency,2021-05-16,2022-01-11,240,London,Approved,Spring,2021
A00495,Philippines,Business,2021-07-26,2021-12-15,142,Berlin,Approved,Summer,2021
A00671,Saudi Arabia,Skilled Migration,2021-11-14,2022-03-30,136,Sydney,Rejected,Autumn,2021
A00378,Pakistan,Visit,2021-12-23,2022-02-08,47,Delhi,Rejected,Winter,2021
A00527,Australia,Visit,2023-12-19,2023-12-26,7,London,Approved,Winter,2023
A00846,Philippines,Skilled Migration,2021-06-17,2021-10-05,110,London,Approved,Summer,2021
A00138,Turkey,Skilled Migration,2022-12-01,2023-05-08,158,Delhi,Approved,Winter,2022
A00356,France,Tourist,2023-04-07,2023-04-16,9,Abu Dhabi,Approved,Spring,2023
A00366,France,Work,2021-03-02,2021-04-25,54,Sydney,Rejected,Spring,2021
A00943,Kenya,Skilled Migration,2022-05-10,2022-07-18,69,Abu Dhabi,Rejected,Spring,2022
A00750,France,Permanent Residency,2024-02-05,2024-11-10,279,Ottawa,Approved,Winter,2024
A00949,Saudi Arabia,Business,2024-11-06,2024-12-10,34,Abu Dhabi,Approved,Autumn,2024
A00830,United Kingdom,Business,2023-07-21,2023-08-20,30,New York,Approved,Summer,2023
A00657,Pakistan,Permanent Residency,2022-11-30,2023-10-05,309,Ottawa,Approved,Autumn,2022
A00200,Brazil,Tourist,2021-07-25,,,Abu Dhabi,Pending,Summer,2021
A00214,Turkey,Tourist,2022-12-17,2022-12-23,6,London,Approved,Winter,2022
A00409,Kenya,Skilled Migration,2024-01-28,2024-06-04,128,Ottawa,Approved,Winter,2024
A00333,UAE,Business,2021-05-31,2021-07-10,40,Abu Dhabi,Approved,Spring,2021
A00209,South Africa,Skilled Migration,2021-12-29,2022-05-05,127,London,Approved,Winter,2021
A00614,South Africa,Visit,2023-05-14,2023-06-07,24,New York,Approved,Spring,2023
A00079,South Africa,Business,2023-10-26,2023-11-21,26,Berlin,Approved,Autumn,2023
A00030,Turkey,Student,2023-06-09,2023-08-28,80,Singapore,Approved,Summer,2023
A00536,Canada,Student,2021-01-12,2021-02-23,42,New York,Approved,Winter,2021
A00696,Turkey,Employment,2022-02-17,2022-06-30,133,Singapore,Approved,Winter,2022
A00558,Brazil,Employment,2024-01-11,2024-05-01,111,Delhi,Approved,Winter,2024
A00837,Kenya,Work,2023-07-24,2023-09-21,59,Ottawa,Approved,Summer,2023
A00597,France,Business,2022-02-26,2022-03-25,27,Abu Dhabi,Approved,Winter,2022
A00166,Pakistan,Business,2024-05-13,2024-07-12,60,Sydney,Approved,Spring,2024
A00919,Nigeria,Employment,2022-12-07,2023-03-01,84,Berlin,Approved,Winter,2022
A00496,Kenya,Tourist,2023-07-01,2023-07-24,23,Sydney,Approved,Summer,2023
A00825,France,Permanent Residency,2021-07-10,2022-01-20,194,Singapore,Rejected,Summer,2021
A00066,Bangladesh,Work,2024-09-11,2024-12-27,107,Ottawa,Approved,Autumn,2024
A00142,Germany,Visit,2024-03-31,2024-04-20,20,London,Approved,Spring,2024
A00926,Germany,Visit,2023-06-22,2023-07-08,16,Abu Dhabi,Approved,Summer,2023
A00828,Sri Lanka,Student,2022-04-11,2022-06-25,75,Delhi,Approved,Spring,2022
A00656,Kenya,Tourist,2022-08-04,2022-08-28,24,Delhi,Approved,Summer,2022
A00332,France,Tourist,2023-06-20,2023-07-07,17,Abu Dhabi,Approved,Summer,2023
A00665,South Africa,Student,2022-02-09,,,Sydney,Pending,Winter,2022
A00250,United Kingdom,Permanent Residency,2023-08-23,2023-12-29,128,Abu Dhabi,Rejected,Summer,2023
A00908,Canada,Business,2024-12-27,2025-01-24,28,London,Approved,Winter,2024
A00709,United Kingdom,Work,2021-11-18,2022-02-23,97,Abu Dhabi,Approved,Autumn,2021
A00306,United States,Permanent Residency,2022-12-31,2023-07-28,209,Singapore,Approved,Winter,2022
A00735,India,Business,2024-06-25,,,Berlin,Pending,Summer,2024
A00976,Nigeria,Work,2021-09-06,2021-12-11,96,Ottawa,Approved,Autumn,2021
A00050,Kenya,Business,2022-01-06,2022-02-08,33,Delhi,Approved,Winter,2022
A00897,Australia,Skilled Migration,2024-04-18,2024-06-29,72,Sydney,Approved,Spring,2024
A00003,Brazil,Skilled Migration,2024-09-13,2025-01-22,131,New York,Approved,Autumn,2024
A00545,Turkey,Permanent Residency,2021-09-21,2022-05-24,245,Ottawa,Approved,Autumn,2021
A00351,UAE,Business,2021-07-05,2021-08-22,48,Delhi,Approved,Summer,2021
A00905,United Kingdom,Tourist,2024-02-23,2024-03-25,31,Sydney,Approved,Winter,2024
A00537,Brazil,Business,2021-02-18,,,Singapore,Pending,Winter,2021
A00345,India,Business,2023-07-06,2023-07-27,21,London,Approved,Summer,2023
A00995,United States,Permanent Residency,2022-03-17,2022-10-19,216,Sydney,Rejected,Spring,2022
A00482,United States,Skilled Migration,2023-09-06,2023-12-31,116,Sydney,Rejected,Autumn,2023
A00576,UAE,Permanent Residency,2022-01-21,2022-08-10,201,Abu Dhabi,Rejected,Winter,2022
A00034,Sri Lanka,Employment,2024-02-21,2024-04-25,64,Berlin,Approved,Winter,2024
A00032,Philippines,Employment,2021-12-18,2022-04-01,104,New York,Approved,Winter,2021
A00232,Nigeria,Work,2024-01-06,2024-03-24,78,Sydney,Approved,Winter,2024
A00964,Bangladesh,Work,2023-07-17,2023-11-03,109,New York,Approved,Summer,2023
A00193,South Africa,Business,2021-04-03,2021-05-03,30,Abu Dhabi,Approved,Spring,2021
A00334,Kenya,Skilled Migration,2021-06-20,2021-10-20,122,Singapore,Approved,Summer,2021
A00004,Nigeria,Work,2022-10-21,2023-01-08,79,London,Rejected,Autumn,2022
A00205,Canada,Work,2021-09-24,2021-12-04,71,Singapore,Approved,Autumn,2021
A00515,UAE,Student,2023-06-03,2023-07-22,49,New York,Approved,Summer,2023
A00800,United States,Work,2024-05-11,2024-07-07,57,Abu Dhabi,Approved,Spring,2024
A00307,Sri Lanka,Employment,2022-03-01,2022-06-25,116,New York,Approved,Spring,2022
A00110,Nepal,Student,2022-11-26,2023-01-29,64,Abu Dhabi,Approved,Autumn,2022
A00431,Nepal,Work,2023-04-28,2023-08-06,100,Delhi,Approved,Spring,2023
A00078,Sri Lanka,Business,2024-08-06,2024-08-28,22,New York,Approved,Summer,2024
A00085,Brazil,Visit,2024-07-15,,,Berlin,Pending,Summer,2024
A00287,China,Skilled Migration,2023-11-01,2024-03-29,149,New York,Approved,Autumn,2023
A00083,Kenya,Permanent Residency,2023-03-10,2023-08-27,170,New York,Rejected,Spring,2023
A00992,Turkey,Work,2021-02-20,2021-06-02,102,Singapore,Approved,Winter,2021
A00790,China,Visit,2024-01-22,2024-02-10,19,Abu Dhabi,Approved,Winter,2024
A00895,Bangladesh,Tourist,2024-10-09,2024-10-30,21,Berlin,Rejected,Autumn,2024
A00399,Australia,Permanent Residency,2022-06-28,2023-03-03,248,Singapore,Approved,Summer,2022
A00324,Nigeria,Permanent Residency,2023-04-05,2023-08-11,128,Singapore,Approved,Spring,2023
A00520,Kenya,Student,2021-03-17,2021-05-18,62,New York,Approved,Spring,2021
A00917,India,Skilled Migration,2024-07-24,2024-09-23,61,Delhi,Approved,Summer,2024
A00923,Kenya,Work,2024-08-15,2024-11-12,89,Abu Dhabi,Approved,Summer,2024
A00006,UAE,Permanent Residency,2021-06-04,2022-01-11,221,Abu Dhabi,Approved,Summer,2021
A00732,Saudi Arabia,Business,2023-05-07,2023-05-29,22,Abu Dhabi,Approved,Spring,2023
A00466,Pakistan,Work,2022-05-02,2022-07-23,82,Delhi,Rejected,Spring,2022
A00098,Philippines,Skilled Migration,2021-04-10,2021-08-04,116,Delhi,Approved,Spring,2021
A00267,Saudi Arabia,Student,2021-03-30,2021-06-16,78,Sydney,Approved,Spring,2021
A00358,Philippines,Visit,2024-02-23,2024-03-09,15,Berlin,Approved,Winter,2024
A00869,United Kingdom,Student,2024-03-27,2024-05-09,43,Singapore,Approved,Spring,2024
A00799,Australia,Work,2024-11-27,2025-02-18,83,Ottawa,Rejected,Autumn,2024
A00381,Bangladesh,Visit,2021-07-23,2021-08-31,39,Ottawa,Rejected,Summer,2021
A00632,UAE,Work,2023-01-04,2023-03-29,84,Singapore,Approved,Winter,2023
A00382,India,Student,2024-03-16,2024-03-27,11,Sydney,Rejected,Spring,2024
A00491,Canada,Skilled Migration,2023-01-11,2023-05-19,128,London,Approved,Winter,2023
A00119,Sri Lanka,Skilled Migration,2024-04-20,,,Delhi,Pending,Spring,2024
A00901,France,Business,2024-01-29,2024-02-28,30,Singapore,Approved,Winter,2024
A00251,Sri Lanka,Work,2024-06-02,2024-09-16,106,Ottawa,Rejected,Summer,2024
A00524,UAE,Visit,2024-05-25,2024-06-24,30,Ottawa,Approved,Spring,2024
A00010,China,Permanent Residency,2023-12-18,2024-07-05,200,New York,Approved,Winter,2023
A00197,Turkey,Permanent Residency,2021-03-07,2021-08-26,172,New York,Approved,Spring,2021
A00604,Bangladesh,Permanent Residency,2021-08-30,2022-02-07,161,Abu Dhabi,Approved,Summer,2021
A00082,Australia,Work,2021-06-02,,,New York,Pending,Summer,2021
A00784,Turkey,Work,2023-10-31,2024-01-16,77,Sydney,Approved,Autumn,2023
A00588,Kenya,Student,2024-06-11,2024-08-07,57,London,Approved,Summer,2024
A00798,France,Permanent Residency,2023-09-08,2024-03-17,191,Berlin,Rejected,Autumn,2023
A00240,France,Student,2024-03-15,2024-05-01,47,Abu Dhabi,Approved,Spring,2024
A00291,Saudi Arabia,Visit,2022-05-27,2022-06-20,24,Berlin,Approved,Spring,2022
A00212,South Africa,Employment,2024-03-11,2024-07-01,112,New York,Approved,Spring,2024
A00718,Turkey,Work,2024-09-18,2024-12-08,81,Berlin,Approved,Autumn,2024
A00360,Australia,Business,2024-10-19,2024-11-13,25,Sydney,Approved,Autumn,2024
A00450,Saudi Arabia,Tourist,2023-11-03,2024-05-03,182,Ottawa,Approved,Autumn,2023
A00228,South Africa,Skilled Migration,2022-09-16,2022-12-10,85,Sydney,Approved,Autumn,2022
A00951,Nigeria,Student,2021-03-06,2021-05-24,79,Singapore,Approved,Spring,2021
A00947,India,Skilled Migration,2021-02-22,2021-08-05,164,London,Approved,Winter,2021
A00797,Nigeria,Student,2022-02-20,2022-05-23,92,Delhi,Approved,Winter,2022
A00502,Canada,Business,2022-04-19,2022-05-24,35,Berlin,Approved,Spring,2022
A00465,Saudi Arabia,Tourist,2024-12-20,2025-01-05,16,Abu Dhabi,Approved,Winter,2024
A00363,South Africa,Student,2024-06-17,2024-09-06,81,London,Rejected,Summer,2024
A00469,Australia,Employment,2022-04-06,2022-05-14,38,Ottawa,Approved,Spring,2022
A00936,Turkey,Tourist,2022-04-23,2022-05-15,22,New York,Approved,Spring,2022
A00429,Saudi Arabia,Student,2023-06-19,2023-09-11,84,New York,Approved,Summer,2023
A00008,Turkey,Student,2021-11-06,2021-12-31,55,New York,Approved,Autumn,2021
A00156,Germany,Business,2023-07-04,2023-08-06,33,Berlin,Rejected,Summer,2023
A00542,Kenya,Employment,2024-10-28,2025-01-13,77,Ottawa,Rejected,Autumn,2024
A00441,Germany,Visit,2023-10-12,2023-10-26,14,Berlin,Approved,Autumn,2023
A00483,Philippines,Business,2021-01-24,2021-02-19,26,Berlin,Rejected,Winter,2021
A00423,UAE,Visit,2023-01-26,2023-02-13,18,Singapore,Approved,Winter,2023
